Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,BEL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95925800000,98438400000,1.00168E+11,1.03334E+11,1.06162E+11,1.09306E+11,1.13762E+11,1.13247E+11,1.19669E+11,1.21396E+11,1.34962E+11,1.3199E+11,1.38456E+11,1.48089E+11,1.5383E+11,1.58255E+11,1.68588E+11,1.77305E+11,1.78926E+11,1.82045E+11,1.73325E+11,1.76364E+11,1.77811E+11,1.83393E+11,1.8862E+11,
Benin,BEN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49878E+11,2.55847E+11,2.9265E+11,3.30694E+11,3.85677E+11,4.49415E+11,4.53634E+11,4.99075E+11,5.29961E+11,6.28254E+11,8.28666E+11,8.18972E+11,8.86632E+11,9.23206E+11,1.1187E+12,1.51455E+12,1.53316E+12,1.71131E+12,
Bangladesh,BGD,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28781E+11,2.47877E+11,2.72945E+11,2.91494E+11,3.47751E+11,4.02025E+11,4.7628E+11,5.92771E+11,6.96018E+11,7.39019E+11,9.01531E+11,1.01706E+12,1.13983E+12,1.27709E+12,1.36511E+12,1.63217E+12,,,,
Bulgaria,BGR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24291000,53429000,79414000,130570000,229767000,,,,,,,,,,,14797604000,15892784000,20842030000,23214949000,24779268000,23706513000,24232376000,25570169000,27259443000,31976230000,31015241000,30711862000,32943983000,35875394000,40344412000,
Bahrain,BHR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,49700000,79100000,108100000,150900000,205600000,202700000,247700000,286800000,361900000,416500000,426200000,420600000,419000000,350800000,380800000,403100000,431300000,439800000,477200000,521900000,545200000,534200000,527100000,560900000,578100000,622100000,706900000,733700000,870500000,907800000,997600000,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525900000,543300000,562200000,539000000,558500000,595600000,658900000,711681000,731807000,793700000,828600000,867000000,922700000,999000000,1021297000,1117166000,1185862000,1260136000,1344984000,1421765000,1554082284,1667595690,1753318281,1702222984,1759590327,1902181502,2125147496,2456838826,2228551000,2452787000,
Bosnia and Herzegovina,BIH,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757059240,6818055884,8133827300,9654217923,9875898631,9933764183,9998994544,10235423709,10006030874,10928784860,10552758090,10562831441,10777920420,11709689168,12185527447,
Belarus,BLR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910,35820,532740,3489330,5318440,9983060,18189020,81881560,231452000,461462000,645051000,1031596011,1463253800,1968329400,2569319698,3367533810,4406444533,4514785700,5149342317,7819170000,15126500000,18950100000,22087100390,25274096426,27931198410,31007069922,34449851839,38517681615,
Belize,BLZ,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137330000,150770000,188768000,220970000,245139000,231281000,239929000,252744000,264898000,291251000,297371000,338080000,352235000,424033000,537994000,548723000,620744000,612281000,633841000,669019000,689824000,729103000,702572026.1,767816086.2,831322724.3,904290259.2,952797423.7,1012632212,,,
Bermuda,BMU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
